iter	Passed	Remaining
397	407345	616135
398	408343	615074
399	409349	614024
400	410378	613009
401	411355	611916
402	412378	610893
403	413386	609847
404	414376	608775
405	415358	607691
406	416373	606657
407	417362	605584
408	418337	604492
409	419336	603436
410	420487	602596
411	421763	601934
412	422890	601057
413	423881	599986
414	424862	598902
415	425861	597843
416	426847	596767
417	427881	595758
418	428874	594692
419	429917	593695
420	430894	592607
421	431861	591507
422	432849	590436
423	433849	589379
424	434835	588306
425	435840	587259
426	436829	586190
427	437811	585111
428	438826	584078
429	439840	583044
430	440821	581966
431	441795	580879
432	442783	579811
433	443775	578748
434	444773	577694
435	445765	576632
436	446758	575572
437	447769	574535
438	448785	573504
439	449807	572481
440	450815	571441
441	451810	570385
442	452852	569387
443	454135	568692
444	455321	567873
445	456363	566873
446	457363	565820
447	458385	564796
448	459412	563778
449	460427	562745
450	461423	561687
451	462405	560615
452	463389	559545
453	464377	558480
454	465386	557441
455	466380	556383
456	467363	555313
457	468354	554253
458	469374	553228
459	470416	552227
460	471386	551143
461	472368	550073
462	473377	549036
463	474350	547956
464	475343	546901
465	476323	545829
466	477296	544751
467	478301	543710
468	479363	542733
469	480377	541702
470	481392	540672
471	482393	539627
472	483406	538594
473	484411	537554
474	485430	536528
475	486782	535869
476	488058	535124
477	489106	534128
478	490160	533138
479	491159	532089
480	492151	531032
481	493146	529978
482	494181	528968
483	495203	527943
484	496238	526934
485	497262	525911
486	498262	524863
487	499286	523841
488	500328	522838
489	501312	521774
490	502316	520730
491	503327	519696
492	504315	518636
493	505316	517591
494	506289	516517
495	507310	515492
496	508294	514430
497	509285	513375
498	510306	512351
499	511300	511300
500	512278	510233
501	513281	509191
502	514298	508163
503	515276	507097
504	516279	506056
505	517313	505045
506	518420	504105
507	519774	503403
508	520956	502533
509	521935	501467
510	522930	500416
511	523947	499387
512	524932	498327
513	525941	497291
514	526927	496232
515	527924	495184
516	528932	494147
517	529964	493133
518	530961	492085
519	531959	491039
520	532962	489997
521	533964	488956
522	534942	487891
523	535929	486836
524	536926	485790
525	537930	484750
526	538950	483726
527	539978	482707
528	540977	481664
529	541964	480610
530	542965	479568
531	543977	478536
532	544967	477485
533	545974	476449
534	547000	475430
535	548024	474409
536	549057	473395
537	550088	472380
538	551187	471423
539	552473	470625
540	553669	469748
541	554659	468697
542	555660	467655
543	556666	466617
544	557668	465576
545	558689	464551
546	559735	463546
547	560732	462501
548	561747	461471
549	562767	460445
550	563780	459414
551	564773	458366
552	565773	457325
553	566790	456296
554	567790	455255
555	568801	454223
556	569825	453200
557	570822	452157
558	571808	451104
559	572796	450054
560	573775	448997
561	574779	447960
562	575797	446933
563	576781	445880
564	577798	444853
565	578804	443817
566	579831	442799
567	580816	441747
568	581810	440703
569	582806	439660
570	583894	438687
571	585190	437869
572	586366	436960
573	587365	435919
574	588376	434887
575	589416	433876
576	590439	432852
577	591431	431806
578	592432	430766
579	593449	429739
580	594460	428707
581	595458	427665
582	596466	426632
583	597466	425592
584	598507	424582
585	599552	423574
586	600543	422528
587	601566	421506
588	602593	420485
589	603595	419447
590	604591	418405
591	605600	417373
592	606606	416338
593	607624	415312
594	608659	414297
595	609729	413306
596	610718	412260
597	611713	411218
598	612733	410194
599	613750	409166
600	614755	408132
601	615786	407114
602	617077	406268
603	618434	405463
604	619616	404542
605	620619	403504
606	621621	402466
607	622649	401445
608	623706	400442
609	624699	399398
610	625747	398388
611	626780	397370
612	627810	396350
613	628826	395320
614	629888	394320
615	630906	393292
616	631924	392264
617	632966	391250
618	633986	390224
619	635028	389210
620	636097	388213
621	637126	387192
622	638247	386226
623	639304	385222
624	640377	384226
625	641414	383209
626	642426	382177
627	643458	381156
628	644482	380131
629	645521	379116
630	646579	378110
631	647625	377098
632	648692	376098
633	650005	375239
634	651328	374385
635	652442	373410
636	653480	372391
637	654499	371361
638	655520	370333
639	656528	369297
640	657530	368258
641	658566	367237
642	659620	366227
643	660619	365187
644	661621	364148
645	662616	363105
646	663641	362079
647	664654	361046
648	665674	360018
649	666674	358978
650	667766	357988
651	668827	356981
652	669902	355981
653	670925	354954
654	671942	353923
655	672969	352898
656	674005	351877
657	675036	350854
658	676056	349826
659	677069	348793
660	678100	347770
661	679204	346784
662	680266	345776
663	681279	344743
664	682455	343793
665	683831	342942
666	685008	341990
667	686074	340982
668	687118	339964
669	688143	338936
670	689141	337894
671	690189	336878
672	691199	335842
673	692224	334814
674	693243	333783
675	694225	332735
676	695213	331689
677	696229	330657
678	697232	329619
679	698276	328600
680	699304	327574
681	700331	326547
682	701312	325499
683	702334	324470
684	703354	323440
685	704339	322394
686	705320	321347
687	706320	320308
688	707305	319262
689	708321	318231
690	709367	317213
691	710426	316201
692	711418	315159
693	712420	314122
694	713446	313095
695	714466	312065
696	715696	311127
697	717018	310228
698	718094	309222
699	719110	308190
700	720160	307172
701	721159	306133
702	722178	305102
703	723192	304069
704	724214	303040
705	725218	302003
706	726250	300978
707	727258	299942
708	728311	298926
709	729370	297911
710	730393	296883
711	731384	295840
712	732373	294798
713	733381	293763
714	734405	292735
715	735448	291714
716	736458	290680
717	737456	289641
718	738517	288627
719	739612	287627
720	740616	286591
721	741605	285548
722	742631	284521
723	743694	283508
724	744729	282483
725	745735	281448
726	746734	280410
727	747864	279422
728	749245	278525
729	750538	277596
730	751541	276559
731	752538	275519
732	753593	274501
733	754644	273481
734	755678	272455
735	756724	271433
736	757781	270415
737	758883	269414
738	759987	268412
739	761021	267386
740	762043	266355
741	763067	265325
742	764084	264293
743	765081	263253
744	766082	262216
745	767099	261183
746	768102	260147
747	769125	259117
748	770193	258102
749	771196	257065
750	772203	256030
751	773246	255006
752	774251	253970
753	775268	252939
754	776349	251928
755	777370	250897
756	778433	249880
757	779525	248872
758	780594	247856
759	781908	246918
760	783112	245944
761	784133	244913
762	785116	243869
763	786130	242836
764	787155	241805
765	788175	240774
766	789212	239747
767	790288	238732
768	791278	237692
769	792264	236650
770	793268	235614
771	794296	234585
772	795344	233561
773	796400	232540
774	797421	231509
775	798447	230479
776	799549	229471
777	800548	228434
778	801570	227403
779	802585	226370
780	803637	225347
781	804682	224323
782	805726	223298
783	806767	222272
784	807802	221245
785	808870	220226
786	809921	219203
787	810934	218170
788	811944	217135
789	812938	216097
790	814272	215149
791	815596	214197
792	816634	213169
793	817657	212137
794	818729	211118
795	819814	210103
796	820820	209067
797	821816	208028
798	822814	206990
799	823791	205947
800	824789	204910
801	825821	203881
802	826818	202843
803	827843	201812
804	828849	200777
805	829941	199762
806	830972	198733
807	832024	197708
808	833083	196686
809	834122	195658
810	835149	194627
811	836191	193601
812	837232	192573
813	838262	191543
814	839291	190514
815	840354	189491
816	841389	188462
817	842426	187434
818	843423	186397
819	844441	185365
820	845484	184338
821	846717	183352
822	848116	182401
823	849259	181395
824	850316	180370
825	851345	179339
826	852378	178308
827	853482	177293
828	854538	176267
829	855571	175237
830	856582	174202
831	857604	173170
832	858647	172141
833	859716	171118
834	860724	170083
835	861734	169048
836	862749	168014
837	863767	166981
838	864768	165944
839	865801	164914
840	866803	163878
841	867798	162841
842	868832	161811
843	869859	160779
844	870889	159748
845	871903	158715
846	872915	157681
847	873933	156648
848	874948	155615
849	875971	154583
850	876977	153548
851	878010	152518
852	879234	151521
853	880608	150548
854	881733	149533
855	882736	148497
856	883766	147466
857	884762	146429
858	885793	145398
859	886804	144363
860	887820	143329
861	888850	142298
862	889893	141269
863	890901	140234
864	891898	139197
865	892920	138165
866	893939	137132
867	894936	136096
868	895979	135067
869	896998	134034
870	898011	133000
871	899058	131971
872	900120	130945
873	901131	129911
874	902140	128877
875	903140	127841
876	904115	126802
877	905142	125771
878	906172	124740
879	907172	123705
880	908191	122672
881	909197	121638
882	910230	120608
883	911215	119571
884	912501	118573
885	913811	117578
886	914818	116543
887	915860	115513
888	916854	114477
889	917862	113443
890	918893	112412
891	919921	111380
892	920929	110346
893	921941	109312
894	922956	108279
895	923957	107245
896	924958	106210
897	925973	105177
898	926968	104142
899	927974	103108
900	928967	102073
901	930002	101042
902	931019	100009
903	932020	98975
904	933019	97941
905	934021	96907
906	935022	95873
907	936031	94840
908	937021	93805
909	938045	92773
910	939055	91740
911	940082	90709
912	941077	89675
913	942044	88638
914	943025	87603
915	944023	86569
916	945278	85559
917	946551	84550
918	947531	83514
919	948547	82482
920	949589	81452
921	950588	80418
922	951579	79384
923	952568	78349
924	953589	77318
925	954576	76283
926	955581	75250
927	956596	74218
928	957596	73185
929	958603	72152
930	959645	71122
931	960643	70089
932	961620	69055
933	962613	68021
934	963630	66990
935	964631	65957
936	965628	64924
937	966609	63891
938	967629	62859
939	968646	61828
940	969679	60798
941	970684	59766
942	971683	58733
943	972684	57701
944	973689	56669
945	974676	55636
946	975699	54606
947	976700	53574
948	978011	52559
949	979331	51543
950	980333	50511
951	981310	49477
952	982290	48444
953	983323	47413
954	984298	46380
955	985288	45348
956	986269	44315
957	987249	43282
958	988220	42249
959	989218	41217
960	990239	40186
961	991218	39154
962	992195	38121
963	993184	37089
964	994152	36057
965	995124	35025
966	996112	33993
967	997126	32962
968	998127	31931
969	999122	30900
970	1000141	29870
971	1001114	28838
972	1002096	27807
973	1003070	26776
974	1004092	25745
975	1005069	24714
976	1006050	23683
977	1007025	22652
978	1008014	21622
979	1009018	20592
980	1010241	19566
981	1011529	18541
982	1012691	17513
983	1013717	16483
984	1014709	15452
985	1015715	14421
986	1016729	13391
987	1017714	12360
988	1018715	11330
989	1019736	10300
990	1020710	9269
991	1021693	8239
992	1022680	7209
993	1023665	6179
994	1024640	5148
995	1025642	4119
996	1026633	3089
997	1027624	2059
998	1028627	1029
999	1029667	0
