iter	MultiClass
646	1.919178717
647	1.919146352
648	1.919119127
649	1.919088181
650	1.919061599
651	1.919037625
652	1.919009255
653	1.918972192
654	1.918943229
655	1.918918157
656	1.918887699
657	1.918853739
658	1.918831313
659	1.918797176
660	1.918767913
661	1.918727052
662	1.918698507
663	1.918667564
664	1.918638506
665	1.918605387
666	1.918577497
667	1.918543235
668	1.918508711
669	1.918482651
670	1.918459914
671	1.918436316
672	1.91840897
673	1.918377122
674	1.918352597
675	1.918326335
676	1.918303963
677	1.918275618
678	1.91825164
679	1.918221334
680	1.918193343
681	1.918169407
682	1.918145389
683	1.918113801
684	1.918083029
685	1.918051428
686	1.91803167
687	1.918003875
688	1.917971799
689	1.917943172
690	1.917912309
691	1.91788764
692	1.917859906
693	1.9178299
694	1.917800402
695	1.917763839
696	1.917732981
697	1.917701366
698	1.917676194
699	1.917648261
700	1.917623481
701	1.917595006
702	1.917562194
703	1.917532872
704	1.917507876
705	1.917484298
706	1.917450868
707	1.917430093
708	1.917405231
709	1.917378803
710	1.917347242
711	1.91731559
712	1.917288243
713	1.917267975
714	1.917236022
715	1.917207644
716	1.917180749
717	1.91715347
718	1.917121494
719	1.917089634
720	1.917064342
721	1.91704004
722	1.917020036
723	1.916983118
724	1.916947598
725	1.916923853
726	1.916901256
727	1.916871398
728	1.916842706
729	1.91680817
730	1.916773821
731	1.916749335
732	1.916714831
733	1.916684728
734	1.916657072
735	1.916628041
736	1.916596036
737	1.916565254
738	1.916534701
739	1.916502491
740	1.916478322
741	1.916452222
742	1.916426369
743	1.916400607
744	1.91637872
745	1.916346714
746	1.91633138
747	1.916305785
748	1.916271792
749	1.916241691
750	1.916212869
751	1.91617648
752	1.916154585
753	1.916126247
754	1.916094368
755	1.916058972
756	1.916024824
757	1.916000187
758	1.915970154
759	1.915940719
760	1.915908028
761	1.915881113
762	1.91585359
763	1.915823743
764	1.91579722
765	1.915768544
766	1.91573631
767	1.915703363
768	1.915675665
769	1.915651325
770	1.9156259
771	1.915596809
772	1.91556808
773	1.915543844
774	1.915512053
775	1.915485091
776	1.915453138
777	1.915420734
778	1.915388985
779	1.915360912
780	1.915329084
781	1.915299229
782	1.915267403
783	1.915236557
784	1.915210012
785	1.915177553
786	1.915150091
787	1.91511548
788	1.915085078
789	1.915060701
790	1.915032466
791	1.915002177
792	1.914966716
793	1.914933831
794	1.914897167
795	1.914861251
796	1.914832368
797	1.914802104
798	1.914774361
799	1.914751908
800	1.914722639
801	1.914688685
802	1.914657336
803	1.914623725
804	1.914595664
805	1.914571204
806	1.914541635
807	1.914510261
808	1.914475152
809	1.914450669
810	1.914421858
811	1.914392933
812	1.914359444
813	1.914335351
814	1.91431126
815	1.914286531
816	1.914256946
817	1.914219498
818	1.914198099
819	1.914175329
820	1.914147314
821	1.914119497
822	1.914083668
823	1.914048259
824	1.914020625
825	1.913992779
826	1.913963705
827	1.913927879
828	1.913898792
829	1.913869312
830	1.913840221
831	1.913812438
832	1.913784758
833	1.913758428
834	1.913732827
835	1.913700533
836	1.913672629
837	1.913644238
838	1.913619162
839	1.913588391
840	1.913554884
841	1.913528344
842	1.913493965
843	1.91347546
844	1.913446684
845	1.913418247
846	1.913388119
847	1.913361239
848	1.913331419
849	1.913303348
850	1.913279165
851	1.913247505
852	1.91321974
853	1.913191213
854	1.913163786
855	1.913132234
856	1.913098972
857	1.913076223
858	1.913049383
859	1.913019935
860	1.912996097
861	1.912963746
862	1.912938459
863	1.912915092
864	1.912887272
865	1.912854456
866	1.912825774
867	1.912799603
868	1.912772993
869	1.912741522
870	1.912718723
871	1.912685332
872	1.912655909
873	1.912627638
874	1.912596897
875	1.912572003
876	1.912549169
877	1.912513947
878	1.912488555
879	1.912465598
880	1.912435218
881	1.912405218
882	1.912378347
883	1.912353355
884	1.912322586
885	1.912293882
886	1.912271049
887	1.912240345
888	1.91221352
889	1.912179131
890	1.912151728
891	1.912126275
892	1.91209381
893	1.912063086
894	1.912034623
895	1.912010246
896	1.911980394
897	1.911948436
898	1.911919161
899	1.911890335
900	1.911862816
901	1.911831201
902	1.911801244
903	1.911770374
904	1.911745381
905	1.911713259
906	1.911678323
907	1.911651717
908	1.911624862
909	1.911592321
910	1.911561429
911	1.91153364
912	1.911501316
913	1.911477841
914	1.911453987
915	1.911425511
916	1.91139402
917	1.911362898
918	1.911331432
919	1.911296779
920	1.911272011
921	1.911240082
922	1.911207797
923	1.911184189
924	1.911157023
925	1.911123489
926	1.911092358
927	1.911058949
928	1.911031764
929	1.911001936
930	1.910966855
931	1.910935983
932	1.910916179
933	1.910889857
934	1.910856518
935	1.910825209
936	1.910796183
937	1.910768769
938	1.910732312
939	1.910705673
940	1.910678569
941	1.910643973
942	1.910612711
943	1.910588743
944	1.910560251
945	1.91053634
946	1.910505748
947	1.910481906
948	1.910456691
949	1.91043311
950	1.910401045
951	1.910369296
952	1.910346448
953	1.910311292
954	1.910281189
955	1.910254424
956	1.910226191
957	1.910195548
958	1.910168568
959	1.910141569
960	1.910110604
961	1.910079064
962	1.910056829
963	1.910025149
964	1.909993819
965	1.909972516
966	1.909951697
967	1.909915752
968	1.909890641
969	1.909861662
970	1.909831604
971	1.909802076
972	1.909773575
973	1.909749918
974	1.909716939
975	1.909686451
976	1.909656713
977	1.909631857
978	1.909602458
979	1.90957172
980	1.909543992
981	1.909510441
982	1.909477455
983	1.909446109
984	1.909418266
985	1.909388
986	1.909357583
987	1.909329975
988	1.909299659
989	1.909272831
990	1.909245431
991	1.909218145
992	1.909193574
993	1.909170608
994	1.909144843
995	1.909117229
996	1.909089413
997	1.909063724
998	1.909030032
999	1.909002713
